time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
0	2466753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
420	52643.8	157931.40000000002	52643.8	157931.40000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1380	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
1560	52643.8	157931.40000000002	52643.8	157931.40000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0	0.2	0.4000000000000001	0	0	0	0.0	0.0
1620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0	0.2	0.4000000000000001	0	0	0	0.0	0.0
1680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0	0.2	0.4000000000000001	0	0	0	0.0	0.0
1740	52643.8	157931.40000000002	52643.8	157931.40000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
1800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
1860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
1920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
1980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
2040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
2100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0	0.3	0.6403124237432848	0	0	0	0.0	0.0
